Cod_cmd,Libelle,Vendeur,Univers,Nature,Date_cmd,Montant_cmd,Quantite,Prix_transport,Delai_transport
CMD01129,planche à découper gris,Vendeur F,Cuisine,Ustensile,2023-03-10,90.85,2,15.6,5
CMD01130,assiette céramique gris,Vendeur E,Cuisine,Art de la table,2023-03-09,194.75,5,23.57,12
CMD01130,sécateur rouge modèle 3,Vendeur C,Jardin,Outillage,2023-08-05,274.94,2,20.98,12
CMD01131,bouilloire,Vendeur B,,Électroménager,2023-10-05,298.25,5,9.72,9
CMD01131,verre à pied,Vendeur E,,Art de la table,2023-12-07,26.25,3,5.08,14
CMD01132,transat bleu,Vendeur C,Jardin,Mobilier extérieur,2023-11-21,182.28,1,4.67,3
CMD01132,haltère vert 59x25 modèle 6,Vendeur E,,Fitness,2023-07-13,25.09,5,21.08,5
CMD01133,sécateur,Vendeur B,Jardin,Outillage,2023-02-07,169.29,5,10.09,6
CMD01133,casque bluetooth,Vendeur E,High-Tech,Audio,2023-12-06,330.36,1,2.87,6
CMD01134,chaise pliante 19 cm,Vendeur E,Jardin,Mobilier extérieur,2023-11-25,290.97,1,22.78,14
CMD01134,mug noir modèle 9,Vendeur E,Cuisine,,2023-09-18,7.9,1,5.27,11
CMD01135,tapis souris,Vendeur A,High-Tech,Informatique,2023-08-06,300.02,2,0.59,12
CMD01135,grille-pain bleu,Vendeur D,Cuisine,Électroménager,2023-02-14,253.94,4,7.91,7
CMD01136,panier osier noir 42 cm,Vendeur C,Maison,Rangement,2023-01-04,244.59,3,19.13,8
CMD01136,sécateur beige,Vendeur C,,Outillage,2023-12-05,384.25,2,7.45,13
CMD01137,bouilloire beige,Vendeur C,Cuisine,Électroménager,2023-10-11,87.97,3,5.29,11
CMD01137,haltère blanc,Vendeur A,Sport,Fitness,2023-03-24,341.3,5,11.53,9
CMD01138,bougie parfumée 35 cm modèle 2,Vendeur B,Maison,Décoration,2023-12-10,130.53,4,8.21,11
CMD01138,verre à pied 76x111,Vendeur D,Cuisine,Art de la table,2023-10-27,114.29,3,3.36,12
CMD01139,set couteaux blanc modèle 5,Vendeur B,Cuisine,Ustensile,2023-08-25,357.06,2,6.58,11
CMD01139,panier osier beige modèle 1,Vendeur E,Maison,Rangement,2023-02-08,107.94,5,11.8,13
CMD01140,câble lightning 16 cm,Vendeur E,High-Tech,Téléphonie,2023-07-20,9.18,2,21.2,13
CMD01140,élastique résistance,Vendeur F,Sport,Fitness,2023-09-21,294.14,3,1.01,13
CMD01141,transat gris 10 cm modèle 6,Vendeur A,Jardin,Mobilier extérieur,2023-02-02,282.98,5,15.84,5
CMD01141,verre à pied noir,Vendeur B,Cuisine,Art de la table,2023-10-06,208.97,3,20.43,6
CMD01142,arrosoir noir modèle 3,Vendeur B,,Outillage,2023-11-06,67.16,5,17.93,2
CMD01142,chargeur usb-c blanc,Vendeur B,High-Tech,Téléphonie,2023-06-19,22.04,5,14.81,3
CMD01143,tapis yoga beige,Vendeur A,Sport,Fitness,2023-10-21,352.01,3,23.68,4
CMD01143,gants jardinage blanc,Vendeur B,Jardin,Outillage,2023-09-04,291.05,3,23.06,10
CMD01144,tapis yoga beige,Vendeur B,Sport,Fitness,2023-04-28,192.97,5,15.0,13
CMD01144,élastique résistance rouge,Vendeur F,Sport,Fitness,2023-02-17,175.44,4,9.26,1
CMD01145,sac à dos rando noir 79x30 modèle 9,Vendeur D,Sport,Plein air,2023-04-28,106.83,1,17.73,13
CMD01145,panier osier gris 129x103,Vendeur C,Maison,,2023-09-25,342.72,4,14.12,10
CMD01146,mug gris,Vendeur C,Cuisine,Art de la table,2023-07-23,233.17,4,18.39,14
CMD01146,étagère beige,Vendeur E,Maison,Rangement,2023-04-28,280.34,1,4.02,11
CMD01147,lampe bleu 54 cm,Vendeur D,Maison,Luminaire,2023-03-16,247.52,5,7.16,10
CMD01147,applique murale bleu,Vendeur C,Maison,,2023-11-24,99.51,1,24.39,2
CMD01148,poêle anti-adhésive noir,Vendeur F,Cuisine,Ustensile,2023-06-30,332.76,5,8.7,14
CMD01148,grille-pain vert 76 cm modèle 5,Vendeur C,Cuisine,Électroménager,2023-11-07,379.07,5,23.92,9
CMD01149,sac à dos rando,Vendeur D,Sport,Plein air,2023-12-22,274.23,5,21.55,8
CMD01149,vase déco 110x86,Vendeur F,Maison,Décoration,2023-02-04,333.71,2,7.18,7
CMD01150,grille-pain vert 29 cm,Vendeur B,Cuisine,Électroménager,2023-10-11,97.77,2,21.82,4
CMD01150,casque bluetooth noir,Vendeur E,High-Tech,Audio,2023-05-08,7.62,5,23.95,14
CMD01151,gants jardinage 70 cm modèle 4,Vendeur E,Jardin,Outillage,2023-11-14,55.66,5,19.98,8
CMD01151,tapis yoga noir,Vendeur F,Sport,Fitness,2023-09-15,8.33,2,9.49,2
CMD01152,set couteaux,Vendeur B,Cuisine,Ustensile,2023-11-10,202.01,2,10.48,13
CMD01152,poêle anti-adhésive,Vendeur F,Cuisine,Ustensile,2023-07-25,111.63,2,13.88,14
CMD01153,table jardin 181x86,Vendeur C,Jardin,Mobilier extérieur,2023-03-16,315.21,3,6.27,14
CMD01153,tapis yoga 62 cm,Vendeur C,Sport,Fitness,2023-07-23,147.58,5,13.94,13
CMD01154,planche à découper 88 cm,Vendeur C,Cuisine,Ustensile,2023-01-11,145.27,5,12.19,12
CMD01154,chaise pliante,Vendeur D,Jardin,Mobilier extérieur,2023-07-15,254.35,5,10.12,2
CMD01155,applique murale,Vendeur D,Maison,Luminaire,2023-06-25,313.48,3,18.7,9
CMD01155,gants jardinage vert,Vendeur A,Jardin,,2023-03-27,88.18,4,2.58,2
CMD01156,chaise pliante blanc 54 cm,Vendeur B,Jardin,Mobilier extérieur,2023-01-14,296.35,4,15.66,3
CMD01156,haltère 39 cm,Vendeur B,,Fitness,2023-01-15,387.97,5,4.43,10
CMD01157,arrosoir bleu,Vendeur C,Jardin,Outillage,2023-09-26,167.82,2,7.59,1
CMD01157,élastique résistance,Vendeur A,Sport,Fitness,2023-06-26,307.52,3,14.93,13
CMD01158,boîte de rangement blanc,Vendeur D,Maison,Rangement,2023-07-11,92.13,1,10.56,4
CMD01158,sac à dos rando noir 183x78,Vendeur C,Sport,Plein air,2023-05-26,281.69,4,4.69,1
CMD01159,enceinte portable modèle 3,Vendeur A,,Audio,2023-10-01,199.96,3,10.51,13
CMD01159,sécateur modèle 7,Vendeur A,Jardin,,2023-08-26,219.56,2,4.8,14
CMD01160,poêle anti-adhésive 30 cm,Vendeur A,Cuisine,Ustensile,2023-01-07,210.85,2,11.82,11
CMD01160,planche à découper vert 112x26,Vendeur B,Cuisine,,2023-03-23,389.44,2,15.82,6
CMD01161,suspension rouge,Vendeur F,Maison,Luminaire,2023-05-22,240.5,3,19.27,4
CMD01161,câble lightning gris,Vendeur A,High-Tech,Téléphonie,2023-02-16,54.7,2,7.92,9
CMD01162,planche à découper rouge 95x89,Vendeur B,,Ustensile,2023-04-09,228.85,5,8.69,12
CMD01162,sécateur 113x78 modèle 9,Vendeur D,Jardin,Outillage,2023-11-03,294.79,1,15.49,6
CMD01163,élastique résistance 75 cm modèle 5,Vendeur C,Sport,Fitness,2023-06-14,166.87,3,2.76,9
CMD01163,lampe noir 54 cm,Vendeur E,Maison,,2023-03-08,251.47,5,6.4,6
CMD01164,tapis souris noir 51 cm,Vendeur D,,Informatique,2023-02-06,329.7,1,20.59,5
CMD01164,tapis yoga 73 cm,Vendeur B,Sport,Fitness,2023-02-06,212.85,2,14.25,3
CMD01165,lampe frontale beige modèle 3,Vendeur E,Sport,Plein air,2023-02-24,163.62,3,16.44,9
CMD01165,sac à dos rando 46 cm,Vendeur E,Sport,Plein air,2023-06-30,220.52,4,19.14,12
CMD01166,planche à découper vert,Vendeur C,Cuisine,Ustensile,2023-08-20,7.59,2,5.37,6
CMD01166,panier osier 111x39 modèle 6,Vendeur E,Maison,Rangement,2023-05-22,103.69,3,20.28,2
CMD01167,lampe frontale 78 cm,Vendeur A,Sport,Plein air,2023-10-19,240.12,3,0.93,13
CMD01167,sac à dos rando beige 34 cm,Vendeur E,Sport,Plein air,2023-02-10,371.82,4,1.35,9
CMD01168,vase déco beige,Vendeur E,Maison,Décoration,2023-10-04,204.37,2,10.8,13
CMD01168,transat beige 131x119,Vendeur B,Jardin,Mobilier extérieur,2023-03-09,194.96,2,12.2,11
CMD01169,tapis yoga vert,Vendeur E,Sport,Fitness,2023-10-15,40.39,4,10.59,6
CMD01169,chargeur usb-c gris,Vendeur D,High-Tech,,2023-06-26,251.16,4,1.12,14
CMD01170,casque bluetooth rouge 23 cm,Vendeur C,High-Tech,Audio,2023-12-17,10.42,1,7.63,8
CMD01170,miroir blanc,Vendeur D,Maison,Décoration,2023-04-18,235.29,5,1.09,3
CMD01171,cadre photo rouge 89 cm,Vendeur F,Maison,Décoration,2023-04-13,147.29,1,0.48,14
CMD01171,table jardin noir 63 cm,Vendeur F,Jardin,Mobilier extérieur,2023-07-14,13.49,2,23.06,5
CMD01172,planche à découper vert 69 cm modèle 1,Vendeur F,Cuisine,,2023-07-21,106.78,4,22.26,14
CMD01172,boîte de rangement 193x98,Vendeur F,Maison,Rangement,2023-05-24,94.83,2,14.32,7
CMD01173,mug bleu,Vendeur F,Cuisine,Art de la table,2023-06-18,359.96,2,10.75,13
CMD01173,tapis souris noir 23 cm,Vendeur C,High-Tech,Informatique,2023-10-17,352.65,4,24.03,5
CMD01174,sécateur vert,Vendeur E,Jardin,Outillage,2023-03-19,96.71,1,8.98,12
CMD01174,transat beige 69x48 modèle 1,Vendeur C,Jardin,Mobilier extérieur,2023-09-15,380.33,2,18.56,4
CMD01175,barre de son gris,Vendeur D,High-Tech,Audio,2023-04-01,164.92,1,15.2,14
CMD01175,gants jardinage rouge,Vendeur A,Jardin,Outillage,2023-07-21,351.72,2,12.97,7
CMD01176,étagère 93x79 modèle 5,Vendeur E,Maison,Rangement,2023-07-18,368.02,5,22.59,8
CMD01176,transat beige 65x78,Vendeur F,Jardin,Mobilier extérieur,2023-09-14,358.84,4,2.25,6
CMD01177,tapis souris beige,Vendeur E,High-Tech,Informatique,2023-03-05,380.15,4,13.76,1
CMD01177,coque silicone 58 cm,Vendeur F,High-Tech,Téléphonie,2023-10-17,308.61,4,7.22,3
CMD01178,lampe modèle 8,Vendeur B,,Luminaire,2023-04-14,90.67,4,11.34,8
CMD01178,boîte de rangement,Vendeur A,,Rangement,2023-11-04,78.01,1,16.33,1
CMD01179,enceinte portable 65x40,Vendeur E,High-Tech,Audio,2023-12-08,266.07,5,14.31,9
CMD01179,chargeur usb-c beige,Vendeur E,High-Tech,,2023-10-24,30.65,4,3.36,12
CMD01180,poêle anti-adhésive 85 cm,Vendeur A,Cuisine,Ustensile,2023-09-27,196.05,5,23.35,12
CMD01180,planche à découper 164x83,Vendeur F,Cuisine,Ustensile,2023-11-08,201.61,2,22.09,4
CMD01181,bouilloire 58 cm,Vendeur C,Cuisine,Électroménager,2023-01-01,143.11,2,0.28,4
CMD01181,set couteaux 121x112,Vendeur A,Cuisine,Ustensile,2023-02-04,333.66,2,8.26,6
CMD01182,gants jardinage gris 12 cm,Vendeur C,Jardin,Outillage,2023-01-19,228.15,3,13.88,1
CMD01182,souris ergonomique blanc 116x100,Vendeur B,High-Tech,Informatique,2023-12-17,230.54,4,4.68,2
CMD01183,assiette céramique bleu 43 cm modèle 5,Vendeur B,Cuisine,Art de la table,2023-06-11,49.33,1,19.44,2
CMD01183,table jardin,Vendeur C,Jardin,Mobilier extérieur,2023-09-05,61.6,1,20.55,9
CMD01184,barre de son vert,Vendeur E,High-Tech,Audio,2023-01-19,349.39,3,11.67,1
CMD01184,boîte de rangement 93x55,Vendeur D,Maison,,2023-12-04,270.09,3,3.73,5
CMD01185,applique murale vert 41 cm,Vendeur B,Maison,Luminaire,2023-11-15,33.14,5,22.31,9
CMD01185,chaise pliante rouge 200x96,Vendeur F,,Mobilier extérieur,2023-03-08,335.29,4,15.41,5
CMD01186,grille-pain noir,Vendeur D,Cuisine,Électroménager,2023-12-10,43.42,3,17.11,12
CMD01186,gants jardinage gris 90 cm,Vendeur C,Jardin,Outillage,2023-04-29,184.05,1,1.63,2
CMD01187,set couteaux 47x61,Vendeur A,Cuisine,Ustensile,2023-08-25,318.01,5,11.52,10
CMD01187,table jardin gris 60 cm,Vendeur D,Jardin,Mobilier extérieur,2023-11-14,229.05,3,13.61,4
CMD01188,tapis souris 46 cm,Vendeur D,High-Tech,Informatique,2023-12-09,74.59,4,1.74,2
CMD01188,gourde isotherme blanc,Vendeur F,Sport,Plein air,2023-06-17,324.89,2,16.52,8
CMD01189,gourde isotherme 43 cm,Vendeur D,Sport,Plein air,2023-07-19,288.53,3,24.76,10
CMD01189,boîte de rangement rouge 50 cm modèle 5,Vendeur A,Maison,Rangement,2023-09-19,97.92,5,9.86,6
CMD01190,sécateur bleu,Vendeur C,Jardin,Outillage,2023-07-15,336.79,2,7.21,14
CMD01190,barre de son,Vendeur B,High-Tech,,2023-01-06,38.44,4,21.5,13
CMD01191,lampe frontale 128x97 modèle 8,Vendeur F,Sport,Plein air,2023-11-16,98.52,5,6.73,9
CMD01191,lampe frontale modèle 9,Vendeur C,Sport,Plein air,2023-01-18,188.65,1,13.08,10
CMD01192,lampe,Vendeur E,Maison,Luminaire,2023-08-30,25.85,3,13.38,1
CMD01192,arrosoir vert 172x115,Vendeur E,Jardin,Outillage,2023-09-20,107.88,4,14.45,10
CMD01193,boîte de rangement blanc,Vendeur C,Maison,Rangement,2023-05-30,104.56,5,7.02,14
CMD01193,mixeur plongeant 199x50,Vendeur E,Cuisine,Électroménager,2023-02-27,345.5,3,24.6,3
CMD01194,haltère modèle 6,Vendeur A,Sport,Fitness,2023-09-11,258.69,1,1.31,8
CMD01194,gants jardinage beige 131x21 modèle 8,Vendeur D,Jardin,Outillage,2023-06-04,273.0,5,17.07,1
CMD01195,panier osier,Vendeur C,Maison,Rangement,2023-11-23,321.91,3,16.36,7
CMD01195,table jardin,Vendeur A,Jardin,Mobilier extérieur,2023-12-11,270.76,1,0.3,2
CMD01196,haltère rouge 172x104,Vendeur B,Sport,Fitness,2023-12-17,380.44,1,17.7,2
CMD01196,panier osier blanc,Vendeur C,Maison,Rangement,2023-03-08,121.35,1,15.97,5
CMD01197,sécateur gris modèle 5,Vendeur B,Jardin,Outillage,2023-05-12,179.03,4,24.49,4
CMD01197,lampe frontale 61 cm,Vendeur A,Sport,Plein air,2023-04-02,18.77,1,14.28,5
CMD01198,chaise pliante 55 cm,Vendeur E,Jardin,Mobilier extérieur,2023-09-12,284.5,4,11.95,7
CMD01198,boîte de rangement gris 34x100,Vendeur F,,Rangement,2023-04-26,40.81,5,21.33,6
CMD01199,cadre photo modèle 7,Vendeur A,Maison,Décoration,2023-05-29,254.09,3,12.16,11
CMD01199,transat beige 44 cm,Vendeur D,,,2023-03-13,386.8,1,0.93,1
CMD01200,mug 73 cm modèle 4,Vendeur A,Cuisine,Art de la table,2023-01-22,19.57,2,12.22,1
CMD01200,chaise pliante,Vendeur A,Jardin,Mobilier extérieur,2023-05-05,185.19,2,20.88,2
CMD01201,lampe 56 cm,Vendeur F,Maison,Luminaire,2023-09-12,232.51,2,8.04,13
CMD01201,enceinte portable beige 62x76 modèle 1,Vendeur B,High-Tech,,2023-10-31,44.49,5,9.4,3
CMD01202,cadre photo modèle 8,Vendeur F,,Décoration,2023-02-11,55.12,2,16.0,9
CMD01202,sécateur modèle 5,Vendeur C,Jardin,Outillage,2023-05-03,170.42,5,5.89,2
CMD01203,élastique résistance,Vendeur C,Sport,Fitness,2023-11-13,25.96,1,19.92,11
CMD01203,sécateur 105x98,Vendeur D,Jardin,Outillage,2023-04-01,22.11,1,23.12,3
CMD01204,casque bluetooth,Vendeur B,High-Tech,Audio,2023-09-06,300.1,3,5.75,2
CMD01204,bouilloire bleu 11 cm,Vendeur B,Cuisine,Électroménager,2023-02-20,90.39,5,11.37,7
CMD01205,grille-pain blanc 40 cm modèle 8,Vendeur D,Cuisine,Électroménager,2023-08-23,170.2,3,5.5,5
CMD01205,élastique résistance modèle 9,Vendeur D,Sport,Fitness,2023-11-23,345.57,2,14.79,14
CMD01206,sécateur beige,Vendeur E,Jardin,Outillage,2023-01-08,378.77,5,22.46,7
CMD01206,lampadaire,Vendeur A,Maison,Luminaire,2023-08-29,183.71,2,2.08,13
CMD01207,boîte de rangement noir 25 cm,Vendeur E,Maison,Rangement,2023-07-28,300.18,1,24.41,8
CMD01207,tapis souris rouge modèle 6,Vendeur E,High-Tech,Informatique,2023-07-27,17.92,4,18.82,12
CMD01208,élastique résistance,Vendeur C,Sport,Fitness,2023-12-17,355.75,1,9.57,8
CMD01208,élastique résistance bleu 158x34,Vendeur F,Sport,Fitness,2023-07-07,375.96,5,21.78,12
CMD01209,tapis souris 108x77,Vendeur E,High-Tech,Informatique,2023-04-26,332.68,4,17.75,11
CMD01209,lampe frontale modèle 8,Vendeur A,Sport,Plein air,2023-08-20,36.67,2,7.21,2
CMD01210,suspension,Vendeur C,Maison,Luminaire,2023-05-22,169.53,5,23.29,8
CMD01210,poêle anti-adhésive bleu,Vendeur C,Cuisine,,2023-08-16,167.62,3,16.39,13
CMD01211,planche à découper vert,Vendeur C,Cuisine,Ustensile,2023-10-31,72.84,3,5.67,6
CMD01211,bouilloire 28 cm,Vendeur F,Cuisine,Électroménager,2023-03-17,278.68,2,4.03,2
CMD01212,vase déco rouge,Vendeur B,Maison,Décoration,2023-10-22,152.3,5,24.39,9
CMD01212,bouilloire modèle 9,Vendeur E,Cuisine,Électroménager,2023-01-13,135.86,3,11.85,5
CMD01213,haltère,Vendeur B,Sport,Fitness,2023-10-17,272.81,1,7.7,7
CMD01213,élastique résistance modèle 5,Vendeur B,Sport,Fitness,2023-08-17,13.91,5,21.24,11
CMD01214,panier osier rouge,Vendeur B,Maison,Rangement,2023-07-21,287.81,4,9.24,6
CMD01214,cadre photo,Vendeur D,Maison,Décoration,2023-06-26,119.01,4,18.22,7
CMD01215,souris ergonomique,Vendeur E,High-Tech,Informatique,2023-11-03,303.67,1,0.17,11
CMD01215,poêle anti-adhésive beige 97x94,Vendeur E,Cuisine,Ustensile,2023-03-31,297.24,2,0.67,1
CMD01216,chargeur usb-c vert 196x102 modèle 2,Vendeur C,High-Tech,Téléphonie,2023-06-03,199.75,1,14.97,6
CMD01216,lampe frontale noir 7 cm,Vendeur B,Sport,Plein air,2023-10-17,234.75,2,7.99,12
CMD01217,câble lightning 155x101,Vendeur E,High-Tech,Téléphonie,2023-03-25,81.56,2,19.12,10
CMD01217,tapis souris 51 cm modèle 6,Vendeur B,High-Tech,Informatique,2023-06-15,10.09,5,7.04,13
CMD01218,sécateur bleu,Vendeur E,Jardin,Outillage,2023-06-24,247.3,5,21.15,12
CMD01218,tapis yoga 112x37,Vendeur E,Sport,Fitness,2023-08-02,211.63,3,4.31,5
CMD01219,étagère 40x74,Vendeur A,Maison,Rangement,2023-03-02,35.71,4,18.93,1
CMD01219,casque bluetooth vert 22x116 modèle 2,Vendeur E,High-Tech,Audio,2023-01-17,86.13,2,4.62,6
CMD01220,applique murale bleu modèle 1,Vendeur E,Maison,Luminaire,2023-03-16,90.71,2,24.11,3
CMD01220,élastique résistance blanc 28 cm,Vendeur D,Sport,Fitness,2023-02-20,172.52,5,5.69,2
CMD01221,grille-pain modèle 6,Vendeur D,Cuisine,Électroménager,2023-08-27,50.71,3,11.42,12
CMD01221,verre à pied noir,Vendeur F,Cuisine,Art de la table,2023-08-16,150.14,1,24.97,8
CMD01222,cadre photo beige,Vendeur F,Maison,Décoration,2023-08-13,370.49,2,1.62,4
CMD01222,bouilloire modèle 5,Vendeur F,Cuisine,Électroménager,2023-11-01,377.57,3,11.9,10
CMD01223,sécateur 22 cm modèle 1,Vendeur A,Jardin,Outillage,2023-09-19,201.76,1,24.3,7
CMD01223,gourde isotherme,Vendeur D,Sport,Plein air,2023-03-20,84.76,4,12.26,5
CMD01224,gourde isotherme modèle 8,Vendeur C,Sport,Plein air,2023-10-04,341.89,4,11.49,1
CMD01224,tapis souris beige 67 cm,Vendeur E,High-Tech,Informatique,2023-12-04,271.63,5,17.13,10
CMD01225,arrosoir beige,Vendeur C,Jardin,Outillage,2023-10-15,131.59,1,14.76,3
CMD01225,set couteaux beige 109x27,Vendeur B,,Ustensile,2023-10-26,97.68,3,14.81,12
CMD01226,miroir beige,Vendeur C,Maison,,2023-02-28,13.06,4,14.7,6
CMD01226,sécateur 190x63 modèle 5,Vendeur C,Jardin,Outillage,2023-06-15,387.92,2,12.42,14
CMD01227,panier osier bleu,Vendeur F,Maison,,2023-04-20,338.45,1,14.8,5
CMD01227,étagère 60 cm,Vendeur C,Maison,Rangement,2023-09-29,84.03,4,6.28,9
CMD01228,chaise pliante bleu,Vendeur D,Jardin,Mobilier extérieur,2023-01-10,110.83,5,20.22,14
CMD01228,chaise pliante vert,Vendeur A,Jardin,Mobilier extérieur,2023-09-25,255.4,4,6.67,5
CMD01229,coque silicone rouge 64 cm,Vendeur D,High-Tech,Téléphonie,2023-12-18,171.7,1,5.05,5
CMD01229,barre de son rouge,Vendeur A,High-Tech,Audio,2023-05-13,26.85,1,7.85,5
CMD01230,bougie parfumée modèle 2,Vendeur E,Maison,Décoration,2023-07-06,295.12,1,13.05,14
CMD01230,gourde isotherme 54 cm,Vendeur F,Sport,Plein air,2023-09-12,98.2,4,5.45,2
CMD01231,barre de son gris modèle 9,Vendeur D,High-Tech,Audio,2023-05-21,192.57,2,24.08,13
CMD01231,coque silicone modèle 1,Vendeur F,High-Tech,Téléphonie,2023-09-01,367.4,2,6.32,7
CMD01232,assiette céramique bleu,Vendeur D,Cuisine,Art de la table,2023-12-25,371.37,3,7.52,14
CMD01232,chargeur usb-c,Vendeur D,High-Tech,Téléphonie,2023-04-18,316.78,3,21.66,14
CMD01233,arrosoir,Vendeur F,Jardin,Outillage,2023-07-31,108.08,1,8.8,10
CMD01233,lampe frontale,Vendeur B,Sport,Plein air,2023-08-21,6.21,2,15.71,6
CMD01234,élastique résistance,Vendeur C,Sport,Fitness,2023-02-26,183.34,2,6.52,11
CMD01234,gourde isotherme beige,Vendeur B,Sport,Plein air,2023-05-25,13.19,1,23.08,11
CMD01235,élastique résistance 81 cm modèle 2,Vendeur C,Sport,Fitness,2023-02-15,72.2,5,2.93,12
CMD01235,gourde isotherme 39 cm modèle 8,Vendeur D,Sport,Plein air,2023-08-21,56.43,2,15.0,14
CMD01236,assiette céramique vert 83x67,Vendeur F,Cuisine,Art de la table,2023-12-13,185.97,1,11.72,14
CMD01236,mug vert 11 cm,Vendeur B,Cuisine,Art de la table,2023-07-23,191.02,3,24.92,11
CMD01237,haltère modèle 9,Vendeur A,Sport,Fitness,2023-01-03,234.29,3,4.25,8
CMD01237,set couteaux noir 68 cm,Vendeur C,Cuisine,Ustensile,2023-03-09,300.39,4,7.07,5
CMD01238,sac à dos rando 76 cm,Vendeur F,Sport,Plein air,2023-09-22,256.48,4,1.33,3
CMD01238,lampadaire 163x82,Vendeur A,,Luminaire,2023-04-04,339.11,2,3.09,2
CMD01239,chargeur usb-c bleu,Vendeur E,High-Tech,Téléphonie,2023-04-03,307.9,2,10.41,2
CMD01239,chargeur usb-c,Vendeur E,High-Tech,Téléphonie,2023-12-13,372.01,1,20.92,3
CMD01240,lampadaire 47 cm,Vendeur F,Maison,Luminaire,2023-08-24,250.83,4,8.12,12
CMD01240,haltère rouge,Vendeur E,Sport,Fitness,2023-04-19,155.65,4,6.38,4
CMD01241,table jardin blanc 130x114,Vendeur C,Jardin,Mobilier extérieur,2023-01-11,361.98,5,3.28,11
CMD01241,bougie parfumée beige 114x98 modèle 7,Vendeur A,Maison,Décoration,2023-09-20,20.97,3,24.33,11
CMD01242,tapis souris modèle 7,Vendeur A,High-Tech,Informatique,2023-12-18,363.35,4,7.51,3
CMD01242,mixeur plongeant rouge,Vendeur D,Cuisine,Électroménager,2023-09-25,42.32,5,20.32,6
CMD01243,mug 120x25 modèle 5,Vendeur C,Cuisine,,2023-02-11,236.95,4,18.93,8
CMD01243,gourde isotherme noir,Vendeur F,Sport,Plein air,2023-06-24,47.0,5,0.45,7
CMD01244,lampadaire,Vendeur D,Maison,Luminaire,2023-03-29,124.61,5,9.02,11
CMD01244,sécateur modèle 1,Vendeur B,Jardin,,2023-02-14,195.04,2,16.24,7
CMD01245,haltère noir 199x76,Vendeur D,Sport,Fitness,2023-02-14,12.75,4,14.63,4
CMD01245,mug 146x114,Vendeur F,Cuisine,,2023-07-20,223.95,3,0.93,7
CMD01246,arrosoir noir 65 cm modèle 6,Vendeur D,Jardin,Outillage,2023-04-29,280.52,1,4.03,12
CMD01246,câble lightning 89 cm,Vendeur C,High-Tech,Téléphonie,2023-06-26,290.58,4,24.0,14
CMD01247,planche à découper 175x82 modèle 7,Vendeur D,Cuisine,Ustensile,2023-03-24,124.94,2,13.92,1
CMD01247,planche à découper noir 78x35,Vendeur D,Cuisine,Ustensile,2023-07-02,106.84,3,19.62,13
CMD01248,panier osier 132x78,Vendeur A,Maison,Rangement,2023-05-17,389.99,5,15.24,14
CMD01248,étagère modèle 5,Vendeur F,Maison,Rangement,2023-01-22,179.4,5,12.46,14
CMD01249,lampe 21x51,Vendeur D,Maison,Luminaire,2023-11-28,139.82,5,4.28,5
CMD01249,assiette céramique,Vendeur B,Cuisine,Art de la table,2023-08-01,321.7,4,22.95,8
CMD01250,lampe frontale modèle 6,Vendeur D,Sport,Plein air,2023-01-16,392.87,2,10.85,7
CMD01250,panier osier,Vendeur C,Maison,Rangement,2023-11-25,170.63,5,21.84,12
CMD01251,planche à découper,Vendeur B,Cuisine,Ustensile,2023-01-05,355.59,5,19.71,11
CMD01251,arrosoir gris 21 cm,Vendeur E,Jardin,Outillage,2023-11-29,117.15,1,12.79,5
CMD01252,lampe frontale bleu,Vendeur D,Sport,,2023-11-22,394.85,1,18.3,14
CMD01252,planche à découper 5 cm,Vendeur B,Cuisine,Ustensile,2023-11-18,323.13,5,14.14,11
CMD01253,élastique résistance blanc,Vendeur B,Sport,Fitness,2023-06-29,46.56,5,14.56,14
CMD01253,set couteaux rouge 74x77 modèle 9,Vendeur D,Cuisine,Ustensile,2023-02-20,237.35,5,19.47,14
CMD01254,mug 25 cm modèle 3,Vendeur D,Cuisine,Art de la table,2023-09-13,285.9,2,24.2,9
CMD01254,élastique résistance gris modèle 7,Vendeur A,Sport,Fitness,2023-12-22,52.74,5,7.24,9
CMD01255,enceinte portable blanc 11 cm,Vendeur C,High-Tech,Audio,2023-07-10,356.18,2,4.58,12
CMD01255,chaise pliante vert,Vendeur D,Jardin,,2023-03-04,192.71,5,3.32,3
CMD01256,lampe frontale beige 48 cm,Vendeur F,Sport,Plein air,2023-08-19,356.57,3,16.15,14
CMD01256,tapis souris noir modèle 9,Vendeur E,High-Tech,Informatique,2023-01-13,304.26,5,13.04,13
CMD01257,chaise pliante bleu 79 cm,Vendeur E,Jardin,Mobilier extérieur,2023-03-03,244.71,4,14.72,8
CMD01257,miroir noir 63x56 modèle 5,Vendeur A,Maison,,2023-08-12,65.92,4,16.97,1
CMD01258,sac à dos rando blanc 116x35 modèle 4,Vendeur E,,,2023-04-03,236.48,4,12.72,9
CMD01258,table jardin rouge 24x54,Vendeur E,Jardin,Mobilier extérieur,2023-05-18,271.66,2,19.07,11
CMD01259,câble lightning blanc 36 cm,Vendeur D,High-Tech,Téléphonie,2023-10-18,384.73,5,11.29,1
CMD01259,arrosoir vert,Vendeur C,Jardin,,2023-12-01,337.76,2,14.63,9
CMD01260,grille-pain noir,Vendeur C,Cuisine,Électroménager,2023-03-24,351.92,2,15.26,13
